new_sku_id,product_type,price_scale,mean_analogue_price,new_sku_price,top1_similarity,analogue_RMSE,analogue_MAE,analogue_MASE,analogue_Bias,bayesian_RMSE,bayesian_MAE,bayesian_MASE,bayesian_Bias,naive_RMSE,naive_MAE,naive_MASE,naive_Bias,random_RMSE,random_MAE,random_MASE,random_Bias,oracle_RMSE,oracle_MAE,oracle_MASE,oracle_Bias
0126589010,Hair clip,0.8981164738037329,0.0035653460078091427,0.00396980359653027,0.9999999999999998,11.126422658783675,8.943926369666658,0.49058218002971044,-8.943926369666658,3.125399623253842,2.512338867883893,0.13780398315441306,-2.512338867883893,19.815209900548055,18.23125,1.0,-18.23125,13.360389215887388,13.0,0.7130613644154954,-13.0,15.149257407543116,15.0,0.8227631127871101,-1.5
0146706004,Bodysuit,0.9966474160369275,0.012912669993555132,0.012956106428190143,0.9999999999999997,2.6753171304133816,2.088768845168323,0.218099048370785,2.088768845168323,0.7514935759588149,0.5867328216764951,0.06126377763224297,0.5867328216764951,9.920714417229348,9.577157079646017,1.0,9.577157079646017,2.23606797749979,1.5,0.1566226791025382,1.5,0.7071067811865476,0.5,0.05220755970084606,0.5
0150959011,Trousers,0.9585512198928463,0.045157791119123374,0.04711046231225018,1.0,2.6839131476056637,1.9598367730347084,0.16217811786579087,-1.9598367730347084,0.7539081875296809,0.5505159474816597,0.045555651085896307,-0.5505159474816597,12.456768205777333,12.084471066907774,1.0,12.084471066907774,67.819613682179,48.0,3.972039796714284,48.0,2.7838821814150108,2.75,0.22756478002008917,1.25
0174057037,Pyjama jumpsuit/playsuit,1.0192455268980112,0.020678591452490094,0.020288135593220274,1.0000000000000002,1.5305059943066837,1.5019628297161831,0.7456553055328569,1.5019628297161831,0.4299174141310909,0.42189967126859085,0.2094537375092295,0.42189967126859085,2.173597686249633,2.0142857142857142,1.0,2.0142857142857142,9.300537618869138,9.0,4.468085106382979,9.0,0.8660254037844386,0.75,0.3723404255319149,0.25
0176209035,Hoodie,1.1542966465435063,0.06474105947496668,0.056087020324308415,0.9999999999999998,5.427211803488157,4.297680650691699,0.8435789700998193,-4.000410120366597,1.5244976976090332,1.2072136659246353,0.23696038485949994,-1.1237107079681459,5.770367031552284,5.094580119965724,1.0,5.094580119965724,10.024968827881711,8.0,1.570296238672918,7.0,4.636809247747852,3.5,0.6870046044194016,-3.5
0176754019,Hair/alice band,4.5526577066102085,0.0061101458693977075,0.00134210526315785,0.9999999999999998,6.3911763420543615,6.239504235031464,1.4890075613359586,6.239504235031464,1.7952742533860564,1.7526697289414224,0.418260550937067,1.7526697289414224,4.280926899290282,4.190377804014167,1.0,4.190377804014167,1.118033988749895,0.75,0.1789814749594985,-0.25,1.0,0.5,0.11932098330633234,-0.5
0181448103,Socks,1.1567494318255522,0.012198479811024432,0.010545481567060816,0.9999999999999996,2.6155806123627867,2.314494992509761,0.5585351022820298,2.314494992509761,0.7347136551580863,0.6501390428398208,0.1568918826634916,0.6501390428398208,4.818703228047977,4.143866666666667,1.0,4.143866666666667,4.387482193696061,4.25,1.0256121496830657,-4.25,5.678908345800274,5.25,1.2669326554908458,5.25
0184121021,Bikini top,1.0133128316014666,0.011230429978319323,0.011082885391444667,0.9999999999999998,54.81841755725428,49.46963653195348,0.7967143861753745,49.46963653195348,15.398431898105134,13.895965317964459,0.22379617589195908,13.895965317964459,62.85196869241337,62.09205882352941,1.0,62.09205882352941,54.687749999428576,42.75,0.6884938397919598,42.75,3.0413812651491097,1.75,0.02818395835405683,1.25
0186267001,Hair clip,0.9266860866471162,0.00309108526271767,0.003335633616666958,0.9999999999999996,14.955245573639266,13.669645775633528,3.2022596253314264,13.669645775633528,4.200911677988556,3.8397881392228994,0.8995111307110744,3.8397881392228994,4.372837759332542,4.268750000000001,1.0,4.268750000000001,0.7071067811865476,0.5,0.11713030746705708,0.0,1.6583123951777,1.25,0.2928257686676427,1.25
0188183008,Swimsuit,0.9010680419728982,0.036560840191653655,0.040575004870446074,0.9999999999999999,7.614723055671107,6.534533243813378,0.3138775945003959,3.3190489385874127,2.1389671504694125,1.8355430460149944,0.08816786362370674,0.9323171175807338,21.049357905463744,20.818731117824775,1.0,20.818731117824775,5.338539126015656,4.0,0.19213466840806848,-4.0,4.743416490252569,3.0,0.14410100130605136,-3.0
